,ref_point_id,total_area,distance_to_centroid,city,log_distance,log_area
0,0,2453309.3338054037,6388.168339014297,Köln,8.762202861369385,14.712948419572825
1,1,826746.5213408715,7645.04956669496,Köln,8.941813601886286,13.625253423203946
2,2,940369.0861851694,8312.335633235718,Köln,9.025495911323285,13.754027722059199
3,3,1356425.1462486708,6353.481955384151,Köln,8.756758281034182,14.120363228024228
4,4,1043830.1691527821,5005.301836192246,Köln,8.518252996862449,13.858407360966693
5,5,1773296.358501699,4402.912242190559,Köln,8.390021474189998,14.388350721963377
6,6,3731643.521331389,7660.050018916592,Köln,8.94377379259799,15.132359316915336
7,7,3459972.190599603,7089.049670202594,Köln,8.866306572489039,15.056771109602648
8,8,634988.8244791413,12193.154344498018,Köln,9.408629953931555,13.361362678474514
9,9,1475058.575480174,7967.8691752225795,Köln,8.983172380357377,14.204208259157497
10,10,1317337.698214987,10898.486597133093,Köln,9.296379214277756,14.091123362598605
11,11,1343295.7964658139,5522.56727916844,Köln,8.616598117957672,14.110636701786783
12,12,2246147.983926845,5817.47602418532,Köln,8.668621773841839,14.624727299877986
13,13,1057539.7179218987,5412.455015544751,Köln,8.596458061060456,13.871455747515855
14,14,1837809.4150650406,8249.04814148754,Köln,9.017853095882923,14.42408488504431
15,15,1523065.5103971926,7215.10959638819,Köln,8.883932661167197,14.236235645001592
16,16,1837415.720697472,9203.458940169345,Köln,9.127334664134999,14.423870642730149
17,17,2058524.6111373901,4702.385881455533,Köln,8.455825293247662,14.537500075980422
18,18,4494700.691502977,4798.923668930932,Köln,8.476146936112023,15.318409636685969
19,19,4324019.508262145,4334.643440666974,Köln,8.374394634543924,15.279695969355052
20,20,635741.8027022181,6296.261445530048,Köln,8.747711314891053,13.36254778929989
21,21,2150997.517314776,4683.627850949529,Köln,8.451828270440263,14.581442254048724
22,22,6441189.724373341,3252.310424596412,Köln,8.08712092262998,15.678223820827764
23,23,2510697.1689389665,5099.074298984615,Köln,8.536814292234466,14.736071029090146
24,24,1431808.4030432433,17556.003465678215,Köln,9.773151248215157,14.174448820793632
25,25,1220698.3986710715,8272.541732969905,Köln,9.020697084566349,14.014933710845014
26,26,4681884.985365953,9138.85036056994,Köln,9.120289875417825,15.359211361452738
27,27,1457733.7567780756,8812.22164747394,Köln,9.083894860519425,14.192393566355936
28,28,756665.9350388796,15487.196950053138,Köln,9.647768958356327,13.536677133880039
29,29,1236656.820997658,14749.844970255628,Köln,9.598987851221587,14.027922184426396
30,30,3605236.4140618355,7842.397958865363,Köln,8.96729992867835,15.097897906041053
31,31,4781281.194185896,1877.2416829808537,Köln,7.537558788543147,15.380219100809875
32,32,1502548.1089425518,11078.550307290117,Köln,9.31276611304892,14.222672964141823
33,33,828438.5618958496,8527.651119799575,Köln,9.051069235601574,13.627297957270288
34,34,1306850.9804574954,15560.031066033058,Köln,9.652460794262078,14.08313096962358
35,35,1661703.9803952994,17127.875924189964,Köln,9.748462586209532,14.323354128061835
36,36,2088268.1663427749,12034.767808406166,Köln,9.395555057002905,14.551845651894464
37,37,1306260.7153472297,11435.410054615404,Köln,9.34446996542176,14.082679197798248
38,38,1697091.1326748936,7063.43035493117,Köln,8.862686098450512,14.344426244998902
39,39,2835869.472311459,9249.138197483184,Köln,9.132285658326422,14.857859140296913
40,40,1276956.4525785125,5444.172141284246,Köln,8.6023009836396,14.05999003308514
41,41,978121.0799179953,7892.817051743324,Köln,8.97370839089465,13.793388744951054
42,42,2508003.3364094435,8166.2529497272835,Köln,9.00776544736442,14.73499751104086
43,43,3235846.203283851,2297.0176729361697,Köln,7.73936689658034,14.989801029233758
44,44,1315129.168613717,7984.417682186898,Köln,8.985247131526092,14.089445445852713
45,45,1066802.9148124594,12143.660171667996,Köln,9.404562516014954,13.880176803581408
46,46,2030795.1757664892,5593.289996798153,Köln,8.629322943432397,14.523937986519016
47,47,1750710.8671870138,8149.513502253827,Köln,9.005713511478222,14.375532473239973
48,48,1932989.1189869929,10141.997104223363,Köln,9.22444021083169,14.474578129093917
49,49,1371767.7039922434,9130.186224111983,Köln,9.119341370326453,14.131610760974073
50,50,5137677.048780428,6767.657875344086,Köln,8.819910349675027,15.452111599242542
51,51,3034082.9978169207,14226.441292563555,Köln,9.562857574955995,14.925419794421828
0,0,5363825.39777525,4533.581300105158,Frankfurt am Main,8.419267480112731,15.495187972103592
1,1,1838925.9182667385,6767.650288294069,Frankfurt am Main,8.8199092285997,14.424692219070176
2,2,1163721.8734706093,6126.886226701137,Frankfurt am Main,8.72044194338418,13.96713393840539
3,3,1407415.5782733744,6033.549888089734,Frankfurt am Main,8.705090820995215,14.157265657284771
4,4,8314222.007058976,3560.041691902391,Frankfurt am Main,8.177527534986037,15.933478101235774
5,5,2014773.1756067325,3199.1320374601282,Frankfurt am Main,8.070634813702348,14.51601717908957
6,6,5591154.096259578,8859.94387283686,Frankfurt am Main,9.089295708684801,15.536696281113425
7,7,3220759.816888335,8446.755100787572,Frankfurt am Main,9.041537634858713,14.98512785766227
8,8,3781886.3493394135,5109.790843140897,Frankfurt am Main,8.538913751467867,15.145733477336382
9,9,2936248.8430806687,10442.917489682606,Frankfurt am Main,9.253679275431637,14.892643420942639
10,10,6025282.830302165,7576.6342654492855,Frankfurt am Main,8.932824351721814,15.611474979027955
11,11,2236032.350919974,9448.077207142018,Frankfurt am Main,9.153566529641228,14.620213581363544
12,12,1742917.2120844065,12042.29855570047,Frankfurt am Main,9.396180610583727,14.371070826004305
13,13,1737363.286243191,6467.40069667954,Frankfurt am Main,8.774529559737365,14.367879169148742
14,14,1616369.5737118328,7066.452474581705,Frankfurt am Main,8.863113861331929,14.295693188519953
15,15,958375.2341535211,9610.555847268803,Frankfurt am Main,9.17061734079828,13.772994665184651
16,16,6337413.207145263,3922.541898563528,Frankfurt am Main,8.274495166146961,15.66198123166279
17,17,2165334.0424943725,4081.6672285731083,Frankfurt am Main,8.31426081838408,14.588085199662125
18,18,3628344.712297839,5253.971784154755,Frankfurt am Main,8.566739599876051,15.104287100118642
19,19,1517805.9100876453,6025.510845111277,Frankfurt am Main,8.703757542334928,14.232776369795761
20,20,982907.3170777766,4523.156090905609,Frankfurt am Main,8.41696527936338,13.798270108903628
21,21,6407939.2164924815,3300.5357588413876,Frankfurt am Main,8.101840085441104,15.673048282119252
22,22,8589739.198113615,2929.715510901097,Frankfurt am Main,7.982660602041465,15.966078932395178
23,23,2081182.3411784777,4486.907561310545,Frankfurt am Main,8.408919004317491,14.548446723439397
24,24,1856091.3636538708,10584.08368632751,Frankfurt am Main,9.26710661263499,14.43398341722333
25,25,4695818.242601422,3922.8512246793493,Frankfurt am Main,8.274574021625869,15.362182935013898
26,26,1971621.511795559,3438.2615098418423,Frankfurt am Main,8.142721247576459,14.494366864585425
27,27,1451552.3065047567,4244.801206091292,Frankfurt am Main,8.353450267517267,14.18814409797029
28,28,3556298.042768583,8218.43198439631,Frankfurt am Main,9.01413471369779,15.084230686155639
29,29,3330691.056652005,6158.987900469153,Frankfurt am Main,8.725667741156643,15.018690364946513
30,30,460313.7720826792,11648.845850272923,Frankfurt am Main,9.362962385440124,13.039663649155006
31,31,635930.5231238113,11248.064786694471,Frankfurt am Main,9.327951373875116,13.362844595983729
32,32,3597509.6429263125,8117.66194713577,Frankfurt am Main,9.001797454148894,15.095752398192134
33,33,5651251.383112125,2283.6033367638306,Frankfurt am Main,7.73350988527481,15.54738756233538
34,34,641017.175403659,11760.046377126544,Frankfurt am Main,9.37246316507805,13.370811530245332
35,35,1418772.4249785414,9713.886848686137,Frankfurt am Main,9.181311774565884,14.16530256623921
36,36,3885625.7480824958,6345.462790790903,Frankfurt am Main,8.755495315359557,15.172794596531375
37,37,5661368.930395399,10424.330434760124,Frankfurt am Main,9.251897817722845,15.549176281429718
38,38,1308613.6427629795,6536.32570408039,Frankfurt am Main,8.78513046762389,14.084478846828034
39,39,735910.6082288765,8941.297798425383,Frankfurt am Main,9.098436025240865,13.508863934123845
40,40,2555508.6135088084,4079.0300641612807,Frankfurt am Main,8.313614509763866,14.753761827761512
